Timestamp	I acknowledge that I have read the above Explanatory Statement and I agree to its terms.	For how long have you been active in the visualization community as an author/reviewer? 	Do you know what a pre-registration is?	How many pre-registrations have you written and submitted?	Do you know what a registered report is?	How well does this definition correspond to what you thought a Registered Report was?	As an author, would you find it helpful to have your study reviewed before you collect data?	Optionally, explain your previous answer or raise any further comments or concerns here	As a reviewer, how willing would you be to review a registered report? 	Optionally, explain your previous answer or raise any further comments or concerns here	As an author, if given the opportunity, how willing would you be to submit first a registered report, adjust your methodology based on reviewers' feedback, and then conduct the study and submit the final paper? 	Optionally, explain your previous answer or raise any further comments or concerns here	Ignoring the potential hurdles of implementing Registered Reports in visualization venues, would you be interested in RRs as a new and complementary publication model in the VIS community?	Optionally, explain your previous answer or raise any further comments or concerns here
14/10/2021 11:09:10	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Very helpful	Pragmatically depends whether added efforts (for the proposal essentially) are compensated by reduced risks (of doing unnecessary research) and early feedback. Withoug experience, but I am optimistic, because I believe the proposal would be the backbone of the final publication anyway.	Very eager	Much like with my PhD students, it's more fulfilling to give advice before or during the work. Not after.	Eager		Neutral	
14/10/2021 11:35:33	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Perfectly	Somewhat helpful	I am not doing many user studies and I am also not sure that I would pre-register. I see the need in medicine due to the financial incentives in the pharma industry, but I do not see the need so much for perception studies. One argument for me would be: if I could publish negative or inconclusive results.	Neutral	Same as for other papers.	Neutral		Neutral	
14/10/2021 14:13:36	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Helpful		Neutral		Eager		Somehow interested	
14/10/2021 15:12:41	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Not helpful at all	I think the concept does not fit very well to the usual incremental development process of vis approaches (design studies). In other cases, such as pure evaluation studies, it fits better. 	Very reluctant		Very reluctant		Not interested at all	
14/10/2021 16:34:46	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Very helpful		Neutral		Neutral		Neutral	
14/10/2021 21:56:40	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not very well	Somewhat helpful	It seems that the main idea here is to help researchers new to a field to get expert opinions before spending their time working on a problem that is either too hard, too narrow, or otherwise risky. I can see this is a useful path for some type of research. However, I am not sure this would be universally useful. 	Neutral	I'd be happy to provide early feedback to young researchers in terms of their new ideas. However, there is a risk of a seasoned researcher being a nay-sayer, which can discourage the younger researchers. 	Reluctant	For certain type of research, I"d be happy to seek expertise opinions. My concern is what type of credits would the reviewers get. That is, should they be considered as co-authors if they brought up some exciting directions in their reviews. 	Neutral	I do not feel that I know enough of this model to have a strong opinion. This might be similar to SIGGRAPH Tech briefs, where an idea and some prototype work is reviewed, before the authors can make a more complete paper from the technical brief. If that is the case, i.e. both the technical brief (RR) and the full paper can be published, then I am for this. 
14/10/2021 22:42:47	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Very well	Helpful	My main concern probably is also the timing and how we can find good reviewers.	Reluctant	Time constraints. 	Eager	I think if we can plan it early, I would like to go this way. However, it also really depends on the timing and the quality of the reviews.	Neutral	I think one benefit is that the RR model and reduce the bias of study results. I have got reviews that saying "the results are not very exciting thus the paper should be rejected". I believe with RR, such situations can be improved. However, I am not confident of getting enough qualified reviewers who are willing to get involved. The RR model seems to put a lot of extra service load to people.
14/10/2021 23:22:58	Yes	< 5 years	I have a good understanding of what it is	> 5 pre-registrations	I have written and submitted a registered report before	Perfectly	Extremely helpful		Very eager	I would love to review a registered report, given that authors would provide sample results. For example, they should demonstrate (using artificial data) how they would visualize results.  The quality of a paper is not "only" the conceptualization, but also the presentation, which is hard to gauge when no data is available.	Very eager		Very interested	
15/10/2021 01:19:27	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Perfectly	Very helpful	Our experimental protocol, user study and analysis follows what we pre-registered. I believe this practice should be encouraged for every scientific research and makes the experiment more convincing as the hypothesis should not occur after data collection commences.	Eager	I believe pre-registration makes the experiment more convincing as the hypothesis should come from research questions and not biased by the data collection. Secondly, reviewing both the pre-registration and the final report gives an idea where the authors make change to e.g., the number of participants recruited, the statistics models used for the analysis, and the hypotheses. 	Very eager	I believe this practice should be encouraged for every scientific research and makes the experiment more convincing as the hypothesis should not occur after data collection commences. The first stage review allows us to refine the experiment before the data collection commences, which makes the experimental protocol more robust.	Somehow interested	This would benefit the viz community, making the experiment design more robust as it is reviewed at the first stage.
15/10/2021 04:11:14	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful		Neutral		Neutral		Somehow interested	
15/10/2021 10:00:04	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not very well	Very helpful		Neutral		Eager		Somehow interested	
15/10/2021 10:50:02	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not very well	Very helpful		Very eager		Eager		Neutral	
15/10/2021 12:11:25	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Very helpful		Eager		Eager		Somehow interested	
15/10/2021 18:07:34	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have a vague notion of what it means	Very well	Very helpful		Very eager		Eager		Very interested	
16/10/2021 14:24:54	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	Might work well for hypotheses-driven empirical research, might work less well for exploratory or theoretical and conceptual work	Neutral		Eager	In general it would be good to get feedback on methodology, procedures, early prototypes etc. I think, originally, some decades ago, workshops were the venue for discussion before actual publication. Today, open discussion of unpublished work is hardly possible. So, registered reports might come in handy.	Somehow interested	Depends on the type of research to be published.
17/10/2021 18:25:29	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful	Review process is getting more complicated?	Neutral	Additional work/effort necessary by looking at the paper twice.	Neutral		Rather not interested	
18/10/2021 15:33:50	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Very well	Helpful	Seems like an effective approach for my visualization approach, since I most often initiate them with defined hypotheses and goals in mind.	Eager	anything to support the visualization community...	Eager	seems like a great approach for visualization studies like the ones that I do, which are typically difficult to place in traditional research-focused journals	Very interested	
18/10/2021 16:50:38	Yes	> 10 years	I have never heard of it	0 pre-registration	I have a vague notion of what it means	Reasonably well	Very helpful		Eager		Eager		Somehow interested	
18/10/2021 17:13:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Somewhat helpful		Neutral		Neutral		Neutral	
22/10/2021 01:47:55	Yes	5 to 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	A lot of studies I run are qualitative and formative, where the experiment outcomes are not the main/sole contribution of the report and have a significant impact on other contribution elements (e.g. system design)	Neutral		Neutral	Would be eager to submit a registered report only if it made sense for the study (e.g. quantitative findings are main contribution)	Somehow interested	
25/10/2021 10:43:27	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Neutral		Reluctant		Somehow interested	
25/10/2021 11:07:17	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Somewhat helpful		Neutral		Eager		Somehow interested	
